id,slug,productName,model,category,currentUrl,dataConfidence,duplicateOf,urlAction
"product-kft-q450brushlessjigsaw","KFT-Q450BrushlessJigSaw","KFT-Q450 800W AC Brushless Jig Saw","KFT-Q450","Jig Saws & Curve Saws","/product/KFT-Q450BrushlessJigSaw.html","verified","","keep"
"product-6000wsolttingmachine","6000wsolttingmachine","KFT-K230 6000W AC Brushless Wall Chaser","KFT-K230","Wall Chasers","/product/6000wsolttingmachine.html","verified","","keep"
"product-heavycuttingmachine","HeavyCuttingMachine","KFT-K210 5500W AC Brushless Wall Chaser","KFT-K210","Wall Chasers","/product/HeavyCuttingMachine.html","verified","","keep"
"product-cuttingmachine","CuttingMachine","KFT-K190 2800W AC Brushless Wall Slotting Machine","KFT-K190","Wall Chasers","/product/CuttingMachine.html","verified","","keep"
"product-lasermeasuringdevicwithmultifunction","LaserMeasuringDevicwithMultiFunction","Handheld Laser Distance Meter","","Laser Distance Meters","/product/LaserMeasuringDevicwithMultiFunction.html","placeholder","","keep"
"product-measuringtapewithdigitaldisplay","MeasuringTapewithDigitalDisplay","3-in-1 Laser Measuring Tape (40m/60m Listing)","","Laser Measuring Tapes","/product/MeasuringTapewithDigitalDisplay.html","placeholder","","keep"
"product-screwdriverforelectronics","ScrewdriverforElectronics","Handheld Precision Electric Screwdriver","","Electric Screwdrivers","/product/ScrewdriverforElectronics.html","placeholder","","keep"
"product-rechargeablebrushlessanglegrinder","RechargeableBrushlessAngleGrinder","Rechargeable Brushless Angle Grinder","","Angle Grinders","/product/RechargeableBrushlessAngleGrinder.html","placeholder","","keep"
"product-brushlesslithiumioncordlessdrill","BrushlessLithiumIonCordlessDrill","Brushless Lithium-Ion Cordless Drill","","Cordless Drills","/product/BrushlessLithiumIonCordlessDrill.html","placeholder","","keep"
"product-brushlesslithium","BrushlessLithium","Cordless Brushless Lithium Battery Drill","","Cordless Drills","/product/BrushlessLithium.html","placeholder","","keep"
"product-acbrushlesscurvesaw","ACBrushlesscurvesaw","AC Brushless Curve Saw","","Jig Saws & Curve Saws","/product/ACBrushlesscurvesaw.html","placeholder","","keep"
"product-acbrushlesswallpolishingmachine","ACBrushlesswallpolishingmachine","KFT-W215 1000W Variable-Speed AC Brushless Wall Polishing Machine","KFT-W215","Wall Polishing Machines","/product/ACBrushlesswallpolishingmachine.html","verified","","keep"
"product-acbrushlesscoldcuttingsaw","ACBrushlesscoldcuttingsaw","KFT-L190 2200W AC Brushless Cold Cutting Saw","KFT-L190","Cold Cutting Saws","/product/ACBrushlesscoldcuttingsaw.html","verified","","keep"
"product-brushlessannularcutter","brushlessannularcutter","KFT-Y370 Large-Diameter Ring Saw Cutting Equipment","KFT-Y370","needs_confirmation","/product/brushlessannularcutter.html","partial","","keep"
"product-acbrushlesswaterdrillingrig","ACBrushlesswaterdrillingrig","KFT-S218 6000W AC Brushless Water Drilling Rig","KFT-S218","Core Drills","/product/ACBrushlesswaterdrillingrig.html","verified","","keep"
"product-40","40","KFT-K190 2800W AC Brushless Wall Slotting Machine","KFT-K190","Wall Chasers","/product/40.html","verified","CuttingMachine","needs-review"
"product-brushlessanglegrinde","BrushlessAngleGrinde","KRT-A125B Brushless Angle Grinder","KRT-A125B","Angle Grinders","/product/BrushlessAngleGrinde.html","placeholder","","keep"
"product-brushlessanglegrinder","BrushlessAngleGrinder","KRT-A125 Brushless Angle Grinder","KRT-A125","Angle Grinders","/product/BrushlessAngleGrinder.html","placeholder","","keep"
